task_id	name	status	exit	time	realtime
290	run_methods (method: em; grid row: 21)	FAILED	1	6m	15s
319	run_methods (method: thresholding; grid row: 23)	COMPLETED	0	2m 15s	1.1s
327	run_methods (method: thresholding; grid row: 25)	COMPLETED	0	2m 15s	1.2s
336	run_methods (method: em; grid row: 26)	FAILED	1	6m	2ms
343	run_methods (method: em; grid row: 24)	FAILED	1	6m	5s
276	run_methods (method: em; grid row: 18)	FAILED	1	6m	20s
315	run_methods (method: thresholding; grid row: 23)	COMPLETED	0	2m 15s	1.1s
320	run_methods (method: em; grid row: 23)	FAILED	1	6m	19.9s
328	run_methods (method: em; grid row: 25)	FAILED	1	6m	19.9s
335	run_methods (method: thresholding; grid row: 26)	COMPLETED	0	2m 15s	1.1s
334	run_methods (method: em; grid row: 26)	FAILED	1	6m	5s
345	run_methods (method: thresholding; grid row: 24)	COMPLETED	0	2m 15s	1.2s
346	run_methods (method: em; grid row: 24)	FAILED	1	6m	2ms
337	run_methods (method: thresholding; grid row: 26)	COMPLETED	0	2m 15s	1.1s
347	run_methods (method: thresholding; grid row: 24)	COMPLETED	0	2m 15s	1.1s
277	run_methods (method: thresholding; grid row: 18)	COMPLETED	0	2m 15s	1s
317	run_methods (method: thresholding; grid row: 23)	COMPLETED	0	2m 15s	1.2s
329	run_methods (method: thresholding; grid row: 25)	COMPLETED	0	2m 15s	1.2s
348	run_methods (method: em; grid row: 24)	FAILED	1	6m	12ms
278	run_methods (method: em; grid row: 18)	FAILED	1	6m	35s
321	run_methods (method: thresholding; grid row: 23)	COMPLETED	0	2m 15s	1s
330	run_methods (method: em; grid row: 25)	FAILED	1	6m	34.9s
338	run_methods (method: em; grid row: 26)	FAILED	1	6m	5s
339	run_methods (method: thresholding; grid row: 26)	COMPLETED	0	2m 15s	1.1s
349	run_methods (method: thresholding; grid row: 24)	COMPLETED	0	2m 15s	998ms
279	run_methods (method: thresholding; grid row: 18)	COMPLETED	0	2m 15s	1s
322	run_methods (method: em; grid row: 23)	FAILED	1	6m	44.9s
331	run_methods (method: thresholding; grid row: 25)	COMPLETED	0	2m 15s	1.2s
340	run_methods (method: em; grid row: 26)	FAILED	1	6m	17ms
350	run_methods (method: em; grid row: 24)	FAILED	1	6m	114ms
280	run_methods (method: em; grid row: 18)	FAILED	1	6m	55s
323	run_methods (method: thresholding; grid row: 25)	COMPLETED	0	2m 15s	1.8s
332	run_methods (method: em; grid row: 25)	FAILED	1	6m	54.9s
281	run_methods (method: thresholding; grid row: 18)	COMPLETED	0	2m 15s	1s
341	run_methods (method: thresholding; grid row: 26)	COMPLETED	0	2m 15s	1s
351	run_methods (method: thresholding; grid row: 24)	COMPLETED	0	2m 15s	1.1s
342	run_methods (method: em; grid row: 26)	FAILED	1	6m	4.1s
352	run_methods (method: em; grid row: 24)	FAILED	1	6m	4.1s
353	collate_results	COMPLETED	0	1m	1.9s
354	cleanup	COMPLETED	0	-	106ms
